,p1mean,p1median,p1std,p2mean,p2median,p2std,pval,reaction
45,0.229194618447,0.173034423571,0.204861428566,0.311432658768,0.168871138333,0.337722251202,0.948,ASNS1
46,0.300165923653,0.226298079745,0.262391746214,0.315137059884,0.261906932072,0.246247391576,0.97,ASNS2
47,0.9300259825,0.666311323149,0.839641617368,1.25451534548,0.894966644023,1.1621466152,0.854,SSALx
48,-5.92166956257,-5.95410642169,0.734630145007,-5.49447218813,-5.51963283206,0.640868808389,0.616,AMID_1
49,-520.763417501,-533.319086186,84.9318040748,79.5252629604,76.8734786537,34.2181071458,0.002,GLXGLY
50,0.449124504983,0.418297764826,0.303575714204,0.171305535134,0.128044007784,0.151133596713,0.438,GDH1
51,360.718177616,364.483768462,80.8710798755,61.8621224801,56.0376452223,42.8906913759,0.002,ABTA
52,0.976532130274,0.594135191435,0.984423893263,1.10155110679,0.878610688806,0.905803000358,0.848,SSALy
53,454.33223984,452.403315795,77.0052545985,541.785484963,537.687742803,97.4547199624,0.396,ASPTA
54,0.893752057961,0.726366606953,0.752267304115,1.1872179752,0.917665472081,0.946672814203,0.798,GF6PTA
55,-323.989537874,-324.007780679,74.286463886,-20.5119592265,-21.8802934885,10.2044530518,0.002,A4PA
56,372.899738263,372.15762781,76.6353534275,113.547985938,119.184731936,42.2528467368,0.002,GLUR
57,0.155389699596,0.106588256917,0.155791632546,0.116444089089,0.083023201595,0.107591028552,0.898,ARGSL
58,0.787728857827,0.767819787831,0.381047536525,1.13033570029,1.06958253216,0.483853248216,0.556,ASNN
59,0.231038020776,0.194482698323,0.168263124738,0.253792021629,0.246661023293,0.172684822691,1.0,GLUSy
60,1.17015963562,0.803289260306,1.21945203846,1.30697120078,1.07477015975,1.2372068135,0.934,GLUN
61,0.0831868695229,0.0364514360305,0.259259431513,0.0944042243437,0.0694268091376,0.190694851191,0.93,APAT2r
62,474.805149784,469.109391273,66.165647301,597.902351238,585.639017741,97.1647916587,0.222,ALATA_L
63,-36.5678070128,-37.7065326164,20.9718490386,-40.8588462282,-35.1980168062,38.5630067572,0.872,A4GA
64,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,UAMAS
65,-7.76140041125e-13,-2.27373675443e-13,1.89962599697e-12,1.24874759422e-11,1.11413100967e-11,7.83937531718e-12,0.02,GGGP
66,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,UAMAGS
67,7.78263304283,7.53131867038,2.00103402554,7.96630881431,7.62647739875,2.02262954565,0.896,GAL
68,-373.486920502,-372.91019959,76.5709449133,-113.896567563,-119.464750249,42.2236214156,0.002,ALAR
69,1.10671279278,0.779613232633,1.05856745776,1.09354923173,0.687932358593,1.18795515899,0.9,ALAAH
70,1.1149627458,0.78837392264,1.05867462997,1.10369250137,0.699582305728,1.18795825932,0.902,ALAALAr
71,-553.542308047,-555.286539082,80.1750382821,41.682033632,39.5451108786,15.0157339873,0.002,SPTc
72,0.155389699597,0.106588256918,0.155791632546,0.116444089089,0.0830232015949,0.107591028552,0.898,ARGSS_1
73,0.750682064659,0.798783357727,0.239998728198,0.178294946058,0.153736053425,0.115290759648,0.046,GLUSx
74,0.083186869516,0.0364514360237,0.25925943151,0.0944042243385,0.0694268091329,0.190694851191,0.93,MSADC
75,0.912922072678,0.640294276202,0.855248392414,0.778442069348,0.637750524019,0.653895721846,0.97,ASP4DC
76,0.860752245896,0.695379853903,0.751602837496,1.14664489664,0.882207520577,0.949258288237,0.806,G6PDA
77,-1.55213954597e-14,-1.34073591092e-14,1.1543514718e-14,-2.55513359357e-12,-2.47627637679e-12,1.31184586601e-12,0.002,A24T2
78,0.281160845067,0.20775387254,0.240701169786,0.299527441658,0.208743428956,0.270886174139,0.994,UDPACGLP
79,0.281160845067,0.20775387254,0.240701169786,0.299527441658,0.208743428956,0.270886174139,0.994,PGAMT
80,0.281160845067,0.20775387254,0.240701169786,0.299527441658,0.208743428956,0.270886174139,0.994,G1PACT
81,0.248161033002,0.172943831222,0.240753885785,0.258954363097,0.166005686328,0.270828510556,0.978,AGDC
82,0.248161033002,0.172943831222,0.240753885785,0.258954363102,0.166005686333,0.270828510557,0.978,UAG2EMA
83,0.00824995301622,0.00801673942729,0.0015731959186,0.0101432696388,0.0106501755141,0.00285597706911,0.544,UAGCVT
84,646.743532472,660.217796198,86.8053870558,682.862174633,699.624058518,85.9384665945,0.686,UAGHD
85,-6.75355009943e-15,-6.99347241906e-15,5.61744176258e-15,-1.10440805177e-15,-8.67726500689e-16,6.92347555704e-16,0.378,ACNML
86,0.248161032995,0.172943831211,0.240753885784,0.258954363096,0.166005686328,0.270828510556,0.978,AMANAPEr
87,0.248161033002,0.172943831221,0.240753885785,0.258954363102,0.166005686333,0.270828510557,0.978,AMANK
88,646.751782425,660.228049505,86.8055938476,682.872317903,699.635484636,85.9385280799,0.686,UAPGR
89,0.00824995301624,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,UAG2E
90,0.160832728901,0.13766544098,0.124365767575,0.491317025347,0.393298239492,0.294953066025,0.306,ARGDC
91,0.160832728901,0.13766544098,0.124365767575,0.491317025347,0.393298239492,0.294953066025,0.306,ALPHNH
92,0.0,0.0,0.0,0.0,0.0,0.0,0.002,PTRCAT1
93,0.789070204077,0.70622598052,0.338763953115,0.883447648052,0.781906884018,0.397093995357,0.916,AGPR
94,0.160832728901,0.13766544098,0.124365767575,0.491317025347,0.393298239492,0.294953066025,0.306,AGMT
95,0.185582587952,0.16293273191,0.125280600493,0.521746834253,0.419070638841,0.295143318951,0.298,OCBT
96,0.384046473877,0.366389001582,0.191931879187,0.554784166384,0.460690187518,0.356981259927,0.716,ACODA
97,0.4050237302,0.335928532056,0.319204534358,0.328663481668,0.239323144678,0.297033405926,0.846,ORNTAC
98,0.160832728911,0.137665440999,0.124365767576,0.491317025349,0.393298239494,0.294953066025,0.306,ABUTD
99,0.789070204077,0.70622598052,0.338763953115,0.883447648052,0.781906884018,0.397093995357,0.916,ACGK
100,0.169790942705,0.157602720212,0.120088148687,0.393854854992,0.315850938484,0.329384551954,0.556,ACGS
101,1.83874965724e-14,1.07047190052e-14,2.01638917215e-14,1.40064846514e-13,1.12082753495e-13,9.14844238835e-14,0.03,PROR
102,0.160832728901,0.13766544098,0.124365767575,0.491317025347,0.393298239492,0.294953066025,0.306,UREASE
103,0.160832728903,0.137665440983,0.124365767575,0.491317025348,0.393298239492,0.294953066025,0.306,PTRCTA
104,0.789070204077,0.70622598052,0.338763953115,0.883447648052,0.781906884018,0.397093995357,0.916,ACOTA
105,-0.0219429353418,-0.0306048422327,0.196992513525,-0.395159475526,-0.324028378377,0.341887736216,0.406,ARGDI
106,0.00824995301624,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,CELLWALL
107,0.00824995301624,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,BIOMASS
108,0.00824995301624,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,RNA
109,0.00824995301624,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,DNA
110,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,PEPGLYCAN
111,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706917,0.544,PROTEIN
112,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706916,0.544,LIPID
113,0.00824995301625,0.00801673942731,0.00157319591861,0.0101432696391,0.0106501755142,0.00285597706917,0.544,SOLPOOL
114,8.39025460265e-14,4.24728456701e-14,9.5754674755e-14,1.11248664539e-12,8.66862570476e-13,8.95287194855e-13,0.086,A4HBCT
115,-4.78962647321e-13,-5.68434188608e-13,9.55363532505e-13,-4.75677097711e-12,-5.11590769747e-12,3.84009949777e-12,0.452,VACOAI
116,0.0,0.0,0.0,0.0,0.0,0.0,0.002,BNOCA
117,-341.222086896,-349.981568281,66.6395452841,-64.5233728984,-53.7147005703,53.3653221508,0.002,HBCO_nadp
118,0.307161848943,0.182630963032,0.318429238018,0.309479873932,0.220513058978,0.295034580299,0.936,BUTCT1
119,7.64241906196e-14,7.86008522035e-14,4.17568982049e-14,7.17464162079e-14,7.56636476675e-14,4.56911960509e-14,0.834,SAOR
120,-3.19821028401,-3.16675056534,1.20056291703,-0.699514148365,-0.636117264889,0.810860741077,0.042,AAAN
121,3.7977697109e-13,2.98591632378e-13,3.0389879996e-13,1.15344855122e-12,9.15241393354e-13,9.03025297512e-13,0.428,4HBCOAH
122,6.43511654236e-14,6.34802452717e-14,3.85893592669e-14,-3.58935577251e-14,-4.2521755607e-14,2.48541057116e-14,0.002,ACTD
123,500.96993217,484.619647848,93.7558180356,723.569550825,734.234606685,68.0075701359,0.002,T2ECR
124,4.91127138957e-13,1.13686837722e-13,1.84065884289e-12,8.55834514368e-13,5.68434188608e-13,1.93907268583e-12,0.734,SSAH
125,0.392735828556,0.291777283754,0.341755593995,0.451472748022,0.299576155543,0.453926536163,0.998,BDH
126,33.4700572503,28.2367175355,25.0797178195,0.288632834676,0.276811204709,0.165004998642,0.02,BTS
127,17.0855973528,16.9468049075,2.90061466662,16.3762904913,15.9707723187,2.41460251645,0.908,HCO3E
128,3.198210284,3.16675056534,1.20056291703,0.699514148372,0.636117264896,0.810860741079,0.042,ARSR
129,0.0,0.0,0.0,0.0,0.0,0.0,0.002,BTCOARx
130,9.31417016601e-14,9.43474088546e-14,4.7694840892e-14,-1.20987613379e-13,-1.24269151875e-13,4.92454949669e-14,0.002,A2DC
131,3.45049889543e-13,4.04306627876e-13,2.0077864927e-13,1.57220968054e-13,1.64052566439e-13,6.26655977313e-14,0.574,GCCL
132,0.277741453648,0.218928509397,0.239240108493,0.0630330873552,0.0640846187265,0.0330883468258,0.334,PBUTT
133,-33.4700572503,-28.2367175355,25.0797178195,-0.288632834676,-0.276811204709,0.165004998642,0.02,BTS_nadph
134,0.277741453648,0.218928509398,0.239240108493,0.063033087355,0.0640846187263,0.0330883468258,0.334,BUTKr
135,3.19821028403,3.16675056537,1.20056291703,0.69951414837,0.636117264896,0.810860741078,0.042,ACLDC
136,0.0,0.0,0.0,0.0,0.0,0.0,0.002,MG2t
137,0.0,0.0,0.0,0.0,0.0,0.0,0.002,Kt3r
138,-1.12138494164,-0.926030700448,0.865451571802,-2.27285740045,-1.97778745058,1.61570968865,0.604,FORt
139,6.98891480388e-15,7.05148846191e-15,4.04639297004e-15,0.0,0.0,0.0,0.002,NO2t
140,0.0,0.0,0.0,0.0,0.0,0.0,0.002,Kt1
141,1.03565901172,0.653385003923,1.14490281059,1.02450897152,0.815914853479,0.916687144256,0.928,ZN2t
142,1.18788288229,1.11632062489,0.465972443479,0.846591817066,0.839867138094,0.425524155218,0.584,ICDH
143,0.180625963906,0.117741178581,0.170996272654,0.198808431844,0.155042286413,0.17604671666,1.002,AKGDH
144,53.1582762442,42.9490349339,44.086267984,138.829973614,140.503521134,60.5571737343,0.118,PC
145,2.12157939978,2.08430738404,0.402192827072,1.7521362648,1.68805426452,0.519990455188,0.614,CITL
146,0.933696517493,0.872564169433,0.422541004914,0.905544447741,0.886472272586,0.548942279799,0.922,ICDHx
147,2.12157939978,2.08430738404,0.40219282707,1.75213626481,1.68805426452,0.519990455186,0.614,CS
148,-144.815329764,-153.480546951,46.0649343152,-2.98519066245,-2.94889398881,2.14367735688,0.032,SUCOAS
149,-2.12157939978,-2.08430738404,0.402192827069,-1.75213626482,-1.68805426452,0.519990455188,0.614,ACONTb
150,1.08151175308,1.08616018519,0.313222683666,0.803410280468,0.768232582108,0.28980271659,0.43,FUM
